id,key,value,type
618124184,wikidata,Q7861902,regular
618124184,wikipedia,en:Tyvola (LYNX station),regular
618124196,name,Scaleybark,regular
618124196,railway,station,regular
618124196,wikidata,Q7429766,regular
618124196,wikipedia,en:Scaleybark (LYNX station),regular
618126644,name,Sharon Road West,regular
618126644,railway,station,regular
618126644,wikidata,Q7490192,regular
618126644,wikipedia,en:Sharon Road West (LYNX station),regular
618151104,name,Google Fiber,regular
618151104,office,it,regular
651221847,highway,traffic_signals,regular
693757784,highway,crossing,regular
693757785,highway,crossing,regular
693757811,railway,crossing,regular
693965067,railway,level_crossing,regular
693965073,highway,traffic_signals,regular
693965076,railway,level_crossing,regular
693965077,highway,traffic_signals,regular
693965082,railway,level_crossing,regular
693965100,highway,traffic_signals,regular
693965104,highway,traffic_signals,regular
693965111,highway,traffic_signals,regular
693965113,highway,traffic_signals,regular
694023729,railway,level_crossing,regular
694023731,railway,level_crossing,regular
694023744,railway,buffer_stop,regular
694023750,railway,switch,regular
694023968,railway,switch,regular
694023975,railway,level_crossing,regular
694024156,railway,level_crossing,regular
694033051,railway,switch,regular
694033054,railway,switch,regular
694033126,railway,level_crossing,regular
694033264,railway,level_crossing,regular
694038382,railway,level_crossing,regular
694038385,railway,switch,regular
694038387,railway,switch,regular
694263363,railway,switch,regular
694295937,highway,traffic_signals,regular
793212854,highway,turning_circle,regular
